,High cost,Low cost,Medium cost,Very high cost,accuracy,macro avg,weighted avg
precision,0.84375,0.9130434782608695,0.7935483870967742,0.9319727891156463,0.8683333333333333,0.8705786636183225,0.8686359200529207
recall,0.8035714285714286,0.9333333333333333,0.825503355704698,0.9256756756756757,0.8683333333333333,0.872020948321284,0.8683333333333333
f1-score,0.823170731707317,0.9230769230769231,0.8092105263157895,0.9288135593220339,0.8683333333333333,0.8710679351055158,0.8682414045715457
support,168.0,135.0,149.0,148.0,0.8683333333333333,600.0,600.0
