,High cost,Low cost,Medium cost,Very high cost,accuracy,macro avg,weighted avg
precision,0.8095238095238095,0.9222222222222223,0.7884615384615384,0.9207920792079208,0.8575,0.8602499123538727,0.8598755908557889
recall,0.8018867924528302,0.9021739130434783,0.8541666666666666,0.8773584905660378,0.8575,0.8588964656822532,0.8575
f1-score,0.8056872037914692,0.9120879120879121,0.82,0.8985507246376812,0.8575,0.8590814601292656,0.8582032708139447
support,106.0,92.0,96.0,106.0,0.8575,400.0,400.0
